No.,Bug ID,平台,状态,标题,分配给,最后修改日期,优先级
1,2813,1,active,【度假地】【统一下单】当订单包含双人套餐和其他门票时，无法成功下单,admin,2016-07-28 17:42:13,3
2,2461,3,active,【订单管理】【新订单处理】新订单处理页面订单实收金额和退款金额金额不正确,admin,2016-08-01 16:07:12,2
3,2457,3,active,【订单管理】【门票订单处理】未支付门票订单处理页面订单实收金额和退款金额应该是0,admin,2016-08-01 16:07:06,2
4,2399,1,active,【度假地】【度假地详情页】【景点详情】在景点详情页点击景点头图，页面不跳转,admin,2016-07-22 09:02:55,2
5,2722,1,active,【首页】【消息】新消息没有小红点提示反馈,admin,2016-08-01 15:25:49,3
6,1893,3,active,【产品信息配置】【目的地管理】【目的地详情】不能上传PNG 格式图片,caiyingying,2016-05-31 14:54:23,3
7,2876,2,active,【度假地】【度假地详情页】在华为A199上返现标签和景区现付标签显示为黑色底橘色字,cuikun,2016-08-16 18:52:03,2
8,2902,2,active,【我的】【消息】重复进入赞/评论/收藏列表导致软件崩溃,cuikun,2016-08-11 10:56:26,3
9,2890,2,active,【我的】【消息】未读消息提醒在退出登录后依然显示,cuikun,2016-08-05 15:12:58,3
10,2978,2,active,【我的】【我的订单】继续支付时，数量和总额显示不正确,cuikun,2016-08-29 11:44:40,2
11,2930,2,active,【度假地】【一日游详情页】在一日游产品飞鱼子宇宙一日游详情页面点击更多日期时导致景点游崩溃；,cuikun,2016-08-19 18:33:46,1
12,3087,2,active,【首页】【智导游】页面没有严格按照UI标注实现,cuikun,2016-09-13 16:18:43,3
13,3085,2,active,【首页】【智导游】子景点列表不能播放的子景点播放按钮图标偏大,cuikun,2016-09-04 16:02:10,3
14,2983,2,active,【约游】当用户的基本信息中“个性签名”达到15行，从13行以后的内容就无法显示出来了,cuikun,2016-08-29 11:05:00,4
15,3099,2,active,"[智导游][景点详情页]景点详情页面，导游录音播放完成后，点击”到这里去“，点击手机上的回退键试图退回到景典游App，会造成景典游App崩溃,使用手机Meizu MX2，三星SGHI317",cuikun,2016-09-09 08:30:25,3
16,3144,2,active,【Android】【我的】【登录】登录页面“记住密码”勾选框功能错误，登录页面中勾选“记住密码”进行登录，退出登录后密码未保存；未勾选记住密码登录，退出登录后密码被保存,cuikun,2016-09-13 15:27:09,3
17,2922,2,active,【消息】【评论的消息】无法查看其他用户详情,cuikun,2016-08-15 16:32:53,3
18,3154,2,active,【登录】登录后断开网络，软件崩溃,cuikun,2016-09-14 11:33:40,1
19,2912,2,active,【我的】【我的订单】当预定8月30日的“穿越氪星一日游“时，我的订单景点名称前出现“票种名称”字样,cuikun,2016-08-15 11:49:27,3
20,2966,2,active,[消息]使用华为MT7-TL00，从“消息”页面点击打开收到的私信时，景点游App 崩溃 ,cuikun,2016-08-29 15:16:58,1
21,3153,2,active,【首页】【智导游】长时间停留在景点列表页导致点击景点软件崩溃,cuikun,2016-09-13 18:13:49,3
22,2964,2,active,【预订支付】【预订信息】【统一结算】【预订填写页】每个酒店类产品被重复显示。,cuikun,2016-08-29 15:19:47,2
23,3152,2,active,【首页】【智导游】景点列表页排序错误,cuikun,2016-09-13 18:06:27,3
24,3151,2,active,【首页】【智导游】景点列表页距离单位错误,cuikun,2016-09-13 18:01:47,3
25,3150,2,active,【首页】【智导游】用户退出app后重新进入，播放记录不保存,cuikun,2016-09-13 17:54:45,3
26,3149,2,active,【首页】【智导游】用户手动选择城市后，城市不保存,cuikun,2016-09-13 17:54:31,3
27,3148,2,active,【首页】【智导游】导航地图页导航功能缺陷,cuikun,2016-09-13 17:44:12,2
28,3147,2,active,【首页】【智导游】从导航地图页返回到智导游地图页软件崩溃,cuikun,2016-09-13 16:45:06,2
29,2906,2,active,【登录】三方登陆后头像不正确,cuikun,2016-08-12 13:34:18,3
30,2905,2,active,【我的】【关于我们】点击公司介绍后长按出发复制功能后返回，导致长按版本信息后软件崩溃,cuikun,2016-08-12 12:06:35,3
31,3069,2,active,[智导游][边走边听] 当播放的语音导游与系统定位的景点不同是，在andriod版本的景典游app上不会出现应该出现的提示“系统定位景点与当前景点不同。。。。”,cuikun,2016-09-03 11:04:06,2
32,3063,2,active,[智导游][子景点列表]子景点列表中的景点语音在播放完成后播放按钮还是正在播放状态,cuikun,2016-09-02 19:51:58,3
33,3000,2,active,【约游】【约你】【私信TA】在发布私信的页面，用表情符号输入框中的”回退删除“按钮来删除消息框中的已有的表情和字符，按一次会删除多个字符和表情,cuikun,2016-08-30 16:16:10,4
34,1441,2,active,【发现详情页】魅族MX2上QQ空间图标被截断，文字看不到,cuikun,2016-08-03 14:56:26,3
35,2939,2,active,【首页】【消息】消息列表中的其他消息显示总是慢于私信消息,cuikun,2016-08-19 18:48:09,2
36,2647,2,active,【预订支付】【预订信息】【统一结算】华为手机A199（Android4.1.2）的度假时间选择框月份显示的格式与年和日不一致,cuikun,2016-08-03 15:11:06,4
37,2648,2,active,【预订支付】【预订信息】【统一结算】华为手机A199（Android4.1.2）门票下方出行人选择框与出行人名字第一个字重合,cuikun,2016-08-16 18:52:22,3
38,2942,2,active,【首页】【消息】【私信】在私信界面左上角的返回按钮热点区域与其他同级菜单的热点区域不一致,cuikun,2016-08-19 19:15:10,3
39,2943,2,active,【约游】【约你】输入评论为“表情+多个汉字”时，点击一次表情里的删除按钮会删掉所有汉字和汉字前的一个表情,cuikun,2016-08-19 19:10:07,4
40,2815,2,active,【度假地】【预订填写】单独选择一日游产品进行结算，默认门票为成人票儿童票各1张,cuikun,2016-08-29 18:39:14,2
41,2962,2,active,[约游]在发布新的约游信息时，如果输入空格然后点&quot;确认&quot;键，即使标签不会提交，但新发布的&quot;约游&quot;内容在正常标签后还是会出现空白的标签,cuikun,2016-08-29 16:44:27,3
42,2957,2,active,【我的】【基本信息】【个人标签】选中标签后浏览其他标签页面，返回后标签会变为未选中状态,cuikun,2016-08-29 17:18:58,4
43,2952,2,active,【我的】【关注】【详细资料】【她的足迹】当用户删掉带有图片的足迹后，这张图片仍会显示在用户的详细资料页面,cuikun,2016-08-19 18:45:08,3
44,2871,2,active,【我的】【基本信息】当个人标签超过两行时，打开基本信息页面个人标签不能一次性显示出来，显示停顿一下再继续显示,cuikun,2016-08-29 17:25:25,3
45,2999,2,active,【消息】【聊天】发送消息失败后退出，登录其他账号后消息发送异常,cuikun,2016-08-30 11:54:26,3
46,2936,2,active,【我的】【我的约游】反复查看他人个人资料页导致软件崩溃,cuikun,2016-08-17 18:36:35,3
47,2956,2,active,【度假地】【预定填写】支付方式界面的支付金额与预订填写界面的总额不一致,cuikun,2016-08-29 16:58:55,2
48,3066,2,active,[智导游][景点地图页][子景点页面][子景点详情]在三星GT-I9220手机上，播放按钮无法显示完全，已经被截断,cuikun,2016-09-02 19:50:34,3
49,2997,2,active,【我的】头像显示异常,cuikun,2016-08-29 19:26:36,4
50,2987,2,active,【度假地】【一日游】【支付方式页】一日游产品不包括儿童，在支付金额中，仍然包含儿童的金额。,cuikun,2016-08-29 10:26:44,1
51,3064,2,active,[智导游][景点地图页]当导游语音正在播放时，景点地图页面的播放按钮还是未播放状态,cuikun,2016-09-14 18:56:31,2
52,2998,2,active,【我的】【我的订单】预订成人票和儿童票后一日游订单显示单价不正确,cuikun,2016-08-29 19:33:35,1
53,3062,2,active,[智导游][子景点列表]子景点列表中的景点语音在播放完成后播放按钮还是正在播放状态,cuikun,2016-09-02 19:52:32,3
54,3057,2,active,【首页】【智导游】城市没有景点导致页面显示异常,cuikun,2016-09-13 16:14:19,2
55,3097,2,active,"【Android】【首页】【智导游】景点地图页面，播放一个音频，关闭当前窗体，当音频播放完毕后，进度条上的圆点一直在抖,使用手机Meizu MX2 ",cuikun,2016-09-09 08:32:23,3
56,2935,2,active,【我的】【我的消息】订单提示系统消息中没有显示产品名称,cuikun,2016-08-19 19:02:19,3
57,3002,2,active,【约游】【约你】【私信】在通过私信发送位置信息的时候，在位置信息的页面中，屏幕上的定位按钮不工作，无法定位到所在位置,cuitao,2016-08-30 18:12:59,3
58,3093,2,active,【度假地】更多主题或更多目的地按钮颜色错误,cuitao,2016-09-05 21:04:35,3
59,3167,2,active,【预订填写】套餐预订填写页网络环境断开时提价订单，不提示网络异常,cuitao,2016-09-19 14:43:26,4
60,3012,2,active,【我的】【登录注册】用户无法进行微博登录,cuitao,2016-09-05 21:08:03,3
61,2974,2,active,【度假地】在预订填写页面，预订人信息鉴别错误，重复的预订人信息可以正常填写，并且订单可以提交,cuitao,2016-08-29 12:16:41,2
62,3164,2,active,【购物车】购物车内勾选一个度假地，部分产品不可勾选时总额显示不正确,cuitao,2016-09-18 18:41:23,2
63,3168,2,active,【购物车】用户不可以选择售罄产品删除,cuitao,2016-09-19 14:44:18,4
64,2123,2,active,【酒店】【日历控件】选择入住日期后无法选择更早的日期作为入住日期,cuitao,2016-08-03 14:57:55,2
65,3160,2,active,【消息】消息通知不及时,cuitao,2016-09-14 16:58:27,3
66,3175,2,active,【度假地】定位地图页焦点不正确,cuitao,2016-09-20 10:52:56,2
67,2990,2,active,【度假地】在购物车的页面中，当父节点A下的所有的两个条目被勾选，父节点A前面的勾选框还是没有被选中的状态,cuitao,2016-08-29 18:36:10,4
68,3166,1,active,【iOS】【测试版】【我的】【我的收藏】收藏一个没有专用图片的景点，造成景点的图片在收藏景点列表中显示为空白,gaomin,2016-09-28 11:21:38,3
69,3171,1,active,【约游】【约你】断网状态下，在约你详情页点击赞，没有任何提示信息,gaomin,2016-09-28 11:20:04,3
70,3165,1,active,【iOS】【测试版】【我的】【登录】当输错登录密码的时候会出现错误的提示，“当前网络不可用，请检查网络”,gaomin,2016-09-28 11:22:30,3
71,1964,1,active,约游吧 加载更多 存在内存问题,gaomin,2016-05-16 11:11:23,1
72,3157,1,active,订单填写页，从现金券返回后，页面排版错误、,gaomin,2016-09-28 13:25:09,2
73,3156,1,active,使用现金券结算，在统计页面显示现金券减免。,gaomin,2016-09-28 11:59:15,2
74,3141,1,active,边走边听定位失败提示语与边走边听开启提示语重叠,limeng,2016-09-23 11:45:56,3
75,3162,1,active,【iOS】【智导游】进入离线语音为0M景点，打开其边走边听功能，再关闭边走边听功能，景典游APP 闪退,limeng,2016-09-23 11:45:21,2
76,3163,1,active,【iOS】【正式版】【智导游】地图页面中离线语音为0，没有合适的计量单位M,limeng,2016-09-23 11:44:56,2
77,3227,10,active,【登录】景典游已注册账号在B版登录失败,luhongjun,2016-09-25 15:03:41,1
78,2993,2,active,【支付】【支付确认】一日游订单价格显示错误,luhongjun,2016-08-30 11:56:19,1
79,2352,3,active,【订单管理】【酒店订单处理】【酒店订单详情】缺少微信支付金额项,luhongjun,2016-06-20 14:33:15,3
80,2350,3,active,【订单管理】【酒店订单处理】【酒店订单详情】关联景点缺失,luhongjun,2016-06-20 14:34:54,3
81,2347,3,active,【订单管理】【酒店订单处理】酒店查询结果维护时间显示多了.0,luhongjun,2016-06-17 18:44:16,4
82,2995,2,active,【支付】【支付确认】套餐订单价格显示错误,luhongjun,2016-08-30 11:57:32,1
83,2346,3,active,【订单管理】【酒店订单处理】页面分屏模式下拉框下方被遮挡,luhongjun,2016-06-17 18:44:40,4
84,2996,2,active,【我的】【我的订单】在线支付酒店无法继续支付,luhongjun,2016-08-30 12:10:25,2
85,2335,3,active,【订单管理】【门票订单处理】【订单详情】用户不能查看子产品渠道订单ID ,luhongjun,2016-06-16 19:07:26,3
86,2336,3,active,【订单管理】【门票订单处理】用户在订单结果中不可以查看预订人手机号,luhongjun,2016-06-16 19:08:39,3
87,2340,3,active,【订单管理】【酒店订单处理】无法正常退款,luhongjun,2016-06-17 14:56:35,3
88,2337,3,active,【订单管理】【门票订单处理】【订单详情】支付类型查询条件失效,luhongjun,2016-06-16 18:36:15,1
89,3302,10,active,订单列表需要根据渠道分离,luhongjun,2016-09-26 19:03:39,1
90,2806,1,active,【我的】【我的订单】刷新不出来，总是提示当前网络不可用，请检查网络,luhongjun,2016-07-26 17:40:43,4
91,1036,2,active,【约游】【在路上】发布的在路上信息中加入赞的图标后点击发布提示“在路上信息添加失败”,luhongjun,2016-05-23 16:17:19,2
92,3321,10,active,【更新】没有强制更新功能,luhongjun,2016-09-28 10:17:13,1
93,2991,2,active,【我的】【我的订单】用户继续支付门票类订单时提示订单无法创建,luhongjun,2016-08-29 18:45:19,2
94,1377,1,active,【订单填写】尚湖风景区门票标题内容与购票须知页显示不一致（IOS）,luhongjun,2016-05-16 15:31:40,2
95,3315,10,active,【注册】注册时无法收到短信验证码,luhongjun,2016-09-27 21:08:42,1
96,1875,3,active,【基础数据】【景点管理】景点详情头图上传时不检查宽高比,luhongjun,2016-05-10 21:01:42,3
97,1876,3,active,【基础数据】【景点管理】景点列表图片上传时不检查分辨率,luhongjun,2016-05-10 21:01:28,3
98,2854,2,active,【预订支付】【酒店支付】在线支付酒店使用现金券后银联支付时提示房间价格已修改，重新下单,luhongjun,2016-08-02 13:45:23,2
99,1878,3,active,【基础数据】【景点管理】景点详情图片没有标明必填,luhongjun,2016-05-10 21:01:14,3
100,1880,3,active,【基础数据】【广告图片管理】在排序页面由上往下拖拽条目排序结果异常,luhongjun,2016-05-09 18:29:29,2
101,1887,3,active,【基础数据】【发现管理】【发现维护】开头图片大小校验错误,luhongjun,2016-05-30 13:36:46,2
102,3280,10,active,支付宝订单，支付后状态不正确。,luhongjun,2016-09-27 11:39:53,1
103,1907,3,active,【产品管理】【自采门票管理】自采产品管理页没有地域和维护人输入框,luhongjun,2016-05-10 20:43:59,2
104,846,3,active,【订单处理】未支付订单处理页显示实收金额错误,luhongjun,2016-06-16 18:26:31,2
105,2878,1,active,【约游】从后台删除评论，前台上评论计数不更新，但是内容已经被删除,luhongjun,2016-08-05 17:57:30,2
106,2345,3,active,【订单管理】【酒店订单处理】页面分屏模式下最上方显示遮挡,luhongjun,2016-06-17 18:44:56,4
107,1211,3,active,【产品管理】【酒店管理】在编辑对接人对话框中电话和邮箱输入个数超过需求规定值3,luhongjun,2016-05-20 14:55:18,3
108,3091,1,active,[度假地][搜索度假地]点击&quot;天池&quot;标签，在搜索结果中有两个同样的景点“天山天池”,luhongjun,2016-09-06 15:08:12,3
109,3090,1,active,[智导游]景点列表的排序方式为按照景点的名字的拼音字母排序，与case 2473所要求的按景点距离排序方式不同,luhongjun,2016-09-07 14:58:36,3
110,2049,2,active,【酒店支付】自采到店付酒店预订后申请取消收不到短信或消息,luhongjun,2016-05-23 16:16:50,2
111,3270,10,active,【我的订单】分页功能缺失,luhongjun,2016-09-27 17:41:47,1
112,2243,3,active,【邮件】通知邮件计划使用日期后会有000,luhongjun,2016-06-07 18:07:56,3
113,1935,3,active,【现金券管理】【现金券查询】查询条件“现金券类型”不起作用,luhongjun,2016-05-10 20:15:20,2
114,1934,3,active,【现金券管理】【现金券查询】会员手机号可以输入非数字,luhongjun,2016-05-10 20:15:56,2
115,2306,3,active,【基础数据】【发现管理】推荐操作弹窗弹出后马上自动消失,luhongjun,2016-06-14 18:21:54,3
116,1933,3,active,【现金券管理】自动充值下事项说明输入框没有输入限制,luhongjun,2016-05-10 20:16:28,1
117,2050,2,active,【酒店支付】自采在线付酒店预订后申请取消收不到短信或消息,luhongjun,2016-05-23 16:16:25,2
118,2293,3,active,【基础数据】【发现管理】上传发现推荐图片失败,luhongjun,2016-06-14 11:25:23,2
119,2822,2,active,【我的】【登录】同一手机号连续输入6次或者超过六次错误密码登录，应该有正确的错误提示,panjunwei,2016-08-10 11:17:31,3
120,2826,2,active,【正式环境】【度假地】【周边】上海度假地周边刷新不出来,panjunwei,2016-08-10 11:17:32,2
121,2816,1,active,【度假地】【预定填写】统一结算页面的支付按钮和单一产品结算页面的支付按钮名称等显示不统一,panjunwei,2016-07-28 11:03:47,4
122,2940,2,active,【我的】【订单详情】失败的订单详情显示信息不具体,panjunwei,2016-08-19 18:56:22,3
123,3013,2,active,【度假地】【酒店预订】选择并保存入住和离开时间后，重新打开选择的入住和离开时间页面，无法正确显示已经选择并保存的入住和离开时间,panjunwei,2016-09-02 13:18:32,4
124,2920,1,active,【我的】【我的订单】订单编号不显示在订单列表页面,panjunwei,2016-08-17 13:32:07,4
125,2919,2,active,【我的】【我的订单】已支付并且过了使用日期的景区现付门票仍有申请取消按钮,panjunwei,2016-08-15 16:17:13,3
126,2918,1,active,【我的】【我的订单】已支付并且过了使用日期的景区现付门票仍有申请取消按钮,panjunwei,2016-08-15 15:00:22,2
127,2907,2,active,【我的】【我的订单】酒店订单取消失败,panjunwei,2016-08-12 17:56:41,3
128,2755,1,active,首页发现 景点游图标 和 搜索栏 看不清楚。,panjunwei,2016-08-04 12:00:48,3
129,2954,2,active,【度假地】【预定填写】邮箱格式填写错误，订单仍可提交成功,panjunwei,2016-08-29 16:51:24,4
130,2770,2,active,【约游】【分享】用户未登录的情况下点击分享弹出用户登录页面,panjunwei,2016-08-10 11:17:27,4
131,2874,2,active,【我的】足迹页面的点赞和评论按钮点击无反应,panjunwei,2016-08-10 11:17:39,4
132,3006,2,active,【度假地】【酒店预订】在的预订填写页面， 查看“入住人姓名”，“联系电话” 和“备注”后面的图标与编辑约游信息是的图标一样，容易让用户产生错误的认为这个图标是可以点击的,panjunwei,2016-08-30 18:13:56,4
133,3003,2,active,【我的】【我的足迹】点击点赞和评论图标，不能直接进行点赞和评论，进入详情页,panjunwei,2016-08-30 18:12:02,4
134,2754,1,active,iPhone 5s  首页适配不正确,panjunwei,2016-08-04 10:38:07,2
135,2828,2,active,【我的】【我的消息】约你 / 收藏 / 评论 / 赞 / 订单 等消息都不能被逐条删除,panjunwei,2016-08-10 11:17:34,3
136,3001,2,active,【约游】【约你】【私信】当用户收到图片私信并进行预览时，景典游App的UI中没有提供退出图片预览状态的任何按钮，用户只能通过按手机上的返回键来退出图片预览状态 * ,panjunwei,2016-08-30 16:08:35,4
137,2975,2,active,【度假地】“星际联邦地面生物科学研究院”-&gt;“预订.起行” 页面中， 在&quot;酒店&quot;区域里，描述内容“给来自地球的旅游者欣赏无边宇宙的地方”与返券信息“返xxx”叠在一起,panjunwei,2016-08-29 12:04:58,4
138,2892,3,active,【订单管理】统一结算后订单退单流程不通,panjunwei,2016-08-08 15:32:41,1
139,2979,2,active,【度假地】【预订填写】产品名称不能完全显示，有截断。,panjunwei,2016-08-29 11:31:23,4
140,2860,1,active,【度假地】【度假地列表页】更多精选主题页面，右侧滑动条与主题右侧图片边缘相重合,panjunwei,2016-08-04 14:06:48,4
141,2864,1,active,【度假地】【统一结算】添加的出行人大于人数时，预定的门票数可大于人数,panjunwei,2016-08-04 14:05:27,4
142,2865,2,active,【度假地】【统一结算】添加的出行人大于人数时，预定的门票数可大于人数,panjunwei,2016-08-10 11:17:38,3
143,2992,2,active,【我的】【我的订单】【支付确认】从支付确认返回到订单页弹窗提示不一样,panjunwei,2016-08-29 19:04:21,3
144,2877,2,active,【约游】从后台删除评论，前台上评论计数不更新，但是内容已经被删除,panjunwei,2016-08-10 11:17:40,3
145,2894,1,active,【度假地】【度假地列表页】【精选主题、精选目的地】断网状态下精选目的地/精选主题不能加载缓存数据,panjunwei,2016-08-09 11:04:34,2
146,167,2,active,【景点】景点评价输入键盘自带的表情，评价失败,panjunwei,2016-08-10 11:18:07,3
147,2836,1,active,【约游】【约你】点击确认按钮后目的地快捷下拉框不消失,panjunwei,2016-07-29 15:27:09,4
148,2900,1,active,【度假地】【精选目的地】没有图片的精选目的地在iOS手机上显示为一张风景图,panjunwei,2016-08-10 10:36:37,4
149,2840,2,active,【约游】【约你】发布约游的目的地位置不应能被输入表情,panjunwei,2016-08-10 11:17:35,3
150,2841,2,active,【首页】OPPO R823T上功能引导区有截断，且轮播图的定位显示小白点有点大,panjunwei,2016-08-10 11:17:36,3
151,2924,1,active,【支付订单】【预定填写页面】套餐类产品没有列明每项门票或酒店的费用，用户无法明确每一项的价格,panjunwei,2016-08-16 15:43:04,4
152,2932,2,active,【我的】【我的消息】【私信】选择将要发送的图片时不支持图片的大图预览功能,panjunwei,2016-08-19 18:47:22,3
153,2928,1,active,【度假地】【预订填写】一日游的预订填写页面总额风格与套餐酒店的预定填写页面总额风格不一致,panjunwei,2016-08-17 18:37:53,3
154,2898,1,active,【度假地】【度假地详细页】没有头图的度假地详情页面默认头图显示不正确,panjunwei,2016-08-10 10:35:26,4
155,2875,1,active,【我的】足迹页面的点赞和评论按钮点击无反应,panjunwei,2016-08-04 12:04:21,4
156,2749,2,active,【度假地】【度假地列表页】【精选主题、精选目的地】断网状态下精选目的地/精选主题不能加载缓存数据,panjunwei,2016-09-19 18:34:54,3
157,657,2,active,【图片预览】吐槽中添加的图片在发布前不能预览,panjunwei,2016-08-10 11:18:08,3
158,2121,1,active,【约你】在约你详情页中点击收藏按钮后，再次点击查看收藏按钮颜色变深,panjunwei,2016-09-06 15:10:37,3
159,2125,2,active,【我的】【基本信息】修改手机号未保存，但新手机号却是已注册状态,panjunwei,2016-08-10 11:18:25,3
160,3146,2,active,【首页】【智导游】智导游播放进度条无法拖动,panjunwei,2016-09-13 16:35:46,4
161,3145,1,active,【iOS】【正式版】【登录注册】【我的】登录时，当第5次输错密码的时候会出现错误的提示信息，“账号或密码错误，你今天还有0次机会”，不能出现正确的提示信息“亲~你的账号被禁，请24小时后再试”,panjunwei,2016-09-14 10:22:55,4
